user_id,age,location,isbn,book_title,book_author,book_rating,liked
2276,46,"niskayuna, new york, usa",0553246089,A Mother's Trial,Nancy Wright,8,FALSE
2276,46,"niskayuna, new york, usa",0446609323,Black Friday,James Patterson,9,FALSE
2276,46,"niskayuna, new york, usa",0671635743,"The IDIC Epidemic (Star Trek, Book 38)",Jean Lorrah,9,FALSE
2276,46,"niskayuna, new york, usa",0449237842,At Wits End,Erma Bombeck,10,TRUE
2276,46,"niskayuna, new york, usa",0671797050,FIRST WIVES CLUB,Olivia Goldsmith,10,TRUE
2276,46,"niskayuna, new york, usa",0345379144,Zombies of the Gene Pool,Sharyn McCrumb,10,TRUE
8864,26,"st petersburg, florida, usa",0553299077,The Face of the Waters,Robert Silverberg,7,FALSE
8864,26,"st petersburg, florida, usa",1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,8,FALSE
8864,26,"st petersburg, florida, usa",0812575490,"Wolf's Head, Wolf's Heart (Wolf)",Jane Lindskold,8,FALSE
8864,26,"st petersburg, florida, usa",0446359750,Devices and Desires,Phyllis White,9,TRUE
8864,26,"st petersburg, florida, usa",0380818191,"Truth, The",Terry Pratchett,9,TRUE
8864,26,"st petersburg, florida, usa",0061031321,Thief of Time,Terry Pratchett,9,TRUE
12122,26,"cooks hill, new south wales, australia",1740590651,Lonely Planet Australia (Lonely Planet Australia),Paul Harding,7,FALSE
12122,26,"cooks hill, new south wales, australia",0702227749,Pelicans and Chihuahus and Other Urban Legends: Talking About Folklore (Uqp Paperbacks),William Neville Scott,7,FALSE
12122,26,"cooks hill, new south wales, australia",0671034979,The Starr Evidence,Bill Clinton,7,FALSE
12122,26,"cooks hill, new south wales, australia",0732266289,Report From Engine Co. 82,Dennis Smith,8,TRUE
12122,26,"cooks hill, new south wales, australia",0140287698,48 shades of brown,Nick Earls,9,TRUE
12122,26,"cooks hill, new south wales, australia",006098726X,Stupid White Men : ...And Other Sorry Excuses for the State of the Nation!,Michael Moore,9,TRUE
14998,25,"canton, georgia, usa",0553278398,Prelude to Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,6,FALSE
14998,25,"canton, georgia, usa",0451457730,Stardoc: A Novel (Stardoc (Paperback)),S. L. Viehl,7,FALSE
14998,25,"canton, georgia, usa",0441772854,Soothsayer,Mike Resnick,7,FALSE
14998,25,"canton, georgia, usa",0441715923,Replay,Ken Grimwood,8,TRUE
14998,25,"canton, georgia, usa",0553286390,"Dragon Wing (The Death Gate Cycle, Book 1)",Margaret Weis,9,TRUE
14998,25,"canton, georgia, usa",0446606979,"Carnivores of Light and Darkness (Journeys of the Catechist , Book 1)",Alan Dean Foster,9,TRUE
15957,27,"sydney, new south wales, australia",0312290624,"Tom, Dick, and Debbie Harry",Jessica Adams,6,FALSE
15957,27,"sydney, new south wales, australia",0224018256,Unreliable Memoirs,Clive James,8,FALSE
15957,27,"sydney, new south wales, australia",0435122037,New Windmills: Across the Barricades (New Windmills),Joan Lingard,8,FALSE
15957,27,"sydney, new south wales, australia",0446673544,Sex &amp; the City,Candace Bushnell,9,TRUE
15957,27,"sydney, new south wales, australia",0860074382,84 Charing Cross Road,Helene Hanff,9,TRUE
15957,27,"sydney, new south wales, australia",0060929596,As Nature Made Him : The Boy Who Was Raised as a Girl,John Colapinto,10,TRUE
16777,30,"hummelstown, pennsylvania, usa",0448131307,Source of Everyday Things,Aldren Watson,5,FALSE
16777,30,"hummelstown, pennsylvania, usa",0440439884,Island of the Blue Dolphins,SCOTT O'DELL,6,FALSE
16777,30,"hummelstown, pennsylvania, usa",0451523733,Adventures of Huckleberry Finn,Mark Twain,7,FALSE
16777,30,"hummelstown, pennsylvania, usa",1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,10,TRUE
16777,30,"hummelstown, pennsylvania, usa",1853262447,Old Curiosity Shop (Wordsworth Collection),Charles Dickens,10,TRUE
16777,30,"hummelstown, pennsylvania, usa",0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,10,TRUE
19760,23,"clemson, south carolina, usa",0440227194,Brian's Winter,GARY PAULSEN,6,FALSE
19760,23,"clemson, south carolina, usa",0671034766,What You Leave Behind (Star Trek Deep Space Nine),Diane Carey,8,FALSE
19760,23,"clemson, south carolina, usa",0743436466,The Nanotech War (Star Trek Voyager),Steven Piziks,8,FALSE
19760,23,"clemson, south carolina, usa",0756401577,The Sorcerer's Academy,Denise Little,9,TRUE
19760,23,"clemson, south carolina, usa",0684853515,Hearts In Atlantis : New Fiction,Stephen King,9,TRUE
19760,23,"clemson, south carolina, usa",0743400518,Avatar Book Two of Two (Star Trek: Deep Space Nine),S.D. Perry,9,TRUE
27740,57,"san diego, , usa",0345447603,Trading in Danger,ELIZABETH MOON,6,FALSE
27740,57,"san diego, , usa",0786865636,Middle of Nowhere,Ridley Pearson,7,FALSE
27740,57,"san diego, , usa",0679428895,Pompeii: A Novel,ROBERT HARRIS,7,FALSE
27740,57,"san diego, , usa",0756400538,"The Fall of Neskaya (The Clingfire Trilogy, Book 1)",Marion Zimmer Bradley,8,TRUE
27740,57,"san diego, , usa",0380977311,"Exit Wounds : A Novel of Suspense (Jance, Ja)",J. A. Jance,8,TRUE
27740,57,"san diego, , usa",0671880314,Schindler's List,Thomas Keneally,10,TRUE
28735,58,"hannover, niedersachsen, germany",0140004564,Burmese Days,George Orwell,7,FALSE
28735,58,"hannover, niedersachsen, germany",0954335007,French Leaves: Letter from the Languedoc,Christopher Campbell-Howes,8,FALSE
28735,58,"hannover, niedersachsen, germany",1583224890,9-11,Noam Chomsky,8,FALSE
28735,58,"hannover, niedersachsen, germany",0449910857,The Pillars of Hercules: A Grand Tour of the Mediterranean,Paul Theroux,9,TRUE
28735,58,"hannover, niedersachsen, germany",0718121449,James Herriots Yorkshire,James Herriot,10,TRUE
28735,58,"hannover, niedersachsen, germany",3442152666,Briefe gegen den Krieg,Tiziano Terzani,10,TRUE
30276,49,"wildwood, new jersey, usa",0373289936,"His Secret Duchess (Harlequin Historical Romances, No 393)",Jim Wilson,7,FALSE
30276,49,"wildwood, new jersey, usa",0373076916,"Mackenzie'S Pleasure (Silhouette Intimate Moments, No 691)",Linda Howard,7,FALSE
30276,49,"wildwood, new jersey, usa",078601489X,Dearly Beloved,Wendy Corsi Staub,7,FALSE
30276,49,"wildwood, new jersey, usa",0515133418,Summer in Eclipse Bay,Jayne Ann Krentz,8,TRUE
30276,49,"wildwood, new jersey, usa",0373225172,"Her Baby, His Secret (Men Of Mystery) (Harlequin Intrigue, No. 517)",Jim Wilson,8,TRUE
30276,49,"wildwood, new jersey, usa",0671568841,All the Queen's Men,Linda Howard,8,TRUE
37034,30,"roma, lazio, italy",8845223183,L'isola del giorno prima,Umberto Eco,1,FALSE
37034,30,"roma, lazio, italy",8806134876,Garzanti - Gli Elefanti: L'idiota,Dostoevskij,1,FALSE
37034,30,"roma, lazio, italy",8807810212,D Amore E Ombra,Isabel Allende,3,FALSE
37034,30,"roma, lazio, italy",881786983X,La Rabbia E L'Orgoglio,Oriana Fallaci,5,TRUE
37034,30,"roma, lazio, italy",8845249778,Le Ore,Micheal Cunningham,5,TRUE
37034,30,"roma, lazio, italy",8817533165,GesÃ¹ e le donne,Marco Garzonio,6,TRUE
37293,41,"whitehorse, yukon territory, canada",0373625421,"Way Of The Wolf (Deathlands #42) (Deathlands , No 42)",James Axler,4,FALSE
37293,41,"whitehorse, yukon territory, canada",0440159237,The settlers (His Australians),William Stuart Long,7,FALSE
37293,41,"whitehorse, yukon territory, canada",0373303025,Through Darkest Amer (Isaac Asimov Presents),Neal Barrett,7,FALSE
37293,41,"whitehorse, yukon territory, canada",0441748600,To Sail Beyond the Sunset,Robert Heinlein,8,TRUE
37293,41,"whitehorse, yukon territory, canada",0743436466,The Nanotech War (Star Trek Voyager),Steven Piziks,8,TRUE
37293,41,"whitehorse, yukon territory, canada",034541389X,Flesh and Blood,Jonathan Kellerman,8,TRUE
44595,39,"toronto, ontario, canada",0821733745,"Death Zone Attack (C.a.D.S, No 11)",John Sievert,5,FALSE
44595,39,"toronto, ontario, canada",0451192303,"Between a Wok and a Hard Place: A Pennsylvania Dutch Mystery With Recipes (Magdalena Yoder Mystery Series , No 5)",Tamar Myers,6,FALSE
44595,39,"toronto, ontario, canada",0441005551,Dragon Tempest (Callander's Dragon),Don Callander,7,FALSE
44595,39,"toronto, ontario, canada",0345314255,Sword of Shannara,Terry Brooks,8,TRUE
44595,39,"toronto, ontario, canada",0441029213,Ariel/Book of Change,Steven R. Boyett,8,TRUE
44595,39,"toronto, ontario, canada",0968636314,Everyone in Silico,Jim Munroe,8,TRUE
47194,36,"linton, indiana, usa",0385479387,The Waiting Time (Doubleday Colophon),Eugenia Price,5,FALSE
47194,36,"linton, indiana, usa",1568653123,Another Homecoming,Janette Oke,7,FALSE
47194,36,"linton, indiana, usa",1586605550,Ohio: The Young Buckeye State Blossoms With Love and Adventure in Four Complete Novels,Dianne Christner,7,FALSE
47194,36,"linton, indiana, usa",1586603892,The English Garden: Centuries of Botanical Delight Brought to Life in Four Romantic Novellas,Gail Gaymer Martin,9,TRUE
47194,36,"linton, indiana, usa",1556614365,"Candle in the Darkness (Refiner's Fire, 1)",Lynn N. Austin,10,TRUE
47194,36,"linton, indiana, usa",0764223828,"Sweet Boundless (Diamond of the Rockies, 2)",Kristen Heitzmann,10,TRUE
50845,19,"east hampton, connecticut, usa",0060099240,The Heart of Islam : Enduring Values for Humanity,Seyyed Hossein Nasr,2,FALSE
50845,19,"east hampton, connecticut, usa",0140440879,Piers the Ploughman (Penguin Classics),William Langland,7,FALSE
50845,19,"east hampton, connecticut, usa",0441008658,Spindle's End,Robin McKinley,7,FALSE
50845,19,"east hampton, connecticut, usa",0195124987,Common Women: Prostitution and Sexuality in Medieval England (Studies in the History of Sexuality),Ruth Mazo Karras,8,TRUE
50845,19,"east hampton, connecticut, usa",0486287769,Great Short Stories by American Women (Dover Thrift Editions),Candace Ward,9,TRUE
50845,19,"east hampton, connecticut, usa",0062502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,10,TRUE
