pid,playlist_name,tid,track_name,artist_name
12377,Songs I Like.,0,through the late night,Travis Scott
12377,Songs I Like.,1,Our Glorious Leader (Japanese Trump Commercial Theme) - Original Mix,Mike Diva
12377,Songs I Like.,2,Sick & Tired,Denzel Curry
12377,Songs I Like.,3,DEVASTATED,Joey Bada$$
12377,Songs I Like.,4,We Fcuk,JAYLIEN
39560,feels,0,Because of You,Kelly Clarkson
39560,feels,1,Breathe Me,Sia
39560,feels,2,Fall - Live,Justin Bieber
39560,feels,3,For the First Time,The Script
39560,feels,4,The Climb,Miley Cyrus
47551,jazz,0,Desafinado - Stereo Version,Stan Getz
47551,jazz,1,Say Hey,Branford Marsalis Quartet
47551,jazz,2,Knocked Out The Box,Branford Marsalis Quartet
47551,jazz,3,Again Never,Branford Marsalis Quartet
47551,jazz,4,Mo' Better Blues,Branford Marsalis Quartet
66462,shower🚿,0,Shower,Becky G
66462,shower🚿,1,Halo,Beyoncé
66462,shower🚿,2,CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS"),Justin Timberlake
66462,shower🚿,3,I'm the One,DJ Khaled
66462,shower🚿,4,Sign of the Times,Harry Styles
70116,junior year,0,Genghis Khan,Miike Snow
70116,junior year,1,Song For Zula,Phosphorescent
70116,junior year,2,Ironworks,Baths
70116,junior year,3,Feels Like We Only Go Backwards,Tame Impala
70116,junior year,4,I Need A Forest Fire,James Blake
72304,tunes,0,Somebody That I Used To Know,Gotye
72304,tunes,1,Riptide,Vance Joy
72304,tunes,2,Confident,Justin Bieber
72304,tunes,3,Hips Don't Lie,Shakira
72304,tunes,4,"Whenever, Wherever",Shakira
97461,emo,0,Symmetry,Title Fight
97461,emo,1,Introvert,Title Fight
97461,emo,2,No One Stays At The Top Forever,Title Fight
97461,emo,3,Memorial Field,Title Fight
97461,emo,4,Loud And Clear,Title Fight
101440,James Bay,0,Craving,James Bay
101440,James Bay,1,Hold Back The River,James Bay
101440,James Bay,2,Let It Go,James Bay
101440,James Bay,3,If You Ever Want To Be In Love,James Bay
101440,James Bay,4,Best Fake Smile,James Bay
105584,Christian,0,Overwhelmed,Big Daddy Weave
105584,Christian,1,Alive,Building 429
105584,Christian,2,Oohs and Ahhs,NEEDTOBREATHE
105584,Christian,3,All the People Said Amen,Matt Maher
105584,Christian,4,Lift My Life Up,Unspoken
108488,vibes,0,As We Are Now,Saint Raymond
108488,vibes,1,"Lights Out, Words Gone",Bombay Bicycle Club
108488,vibes,2,Northern Wind,City and Colour
108488,vibes,3,Bloodlines,Mimicking Birds
108488,vibes,4,You Already Know Feat. Kathryn Williams,Bombay Bicycle Club
121994,playlist1,0,Bad Blood,Taylor Swift
121994,playlist1,1,Bad Blood,Taylor Swift
121994,playlist1,2,I Feel Good,Lil Wayne
121994,playlist1,3,Thinking Bout You,Lil Wayne
121994,playlist1,4,Make Me Proud,Drake
122684,Closer,0,Closer,The Chainsmokers
122684,Closer,1,Until You Were Gone - Boehm Remix,The Chainsmokers
122684,Closer,2,Sweet Lovin' - Radio Edit,Sigala
122684,Closer,3,Starving,Hailee Steinfeld
122684,Closer,4,LUV,Tory Lanez
124069,chill acoustic ,0,Starving - Acoustic,Hailee Steinfeld
124069,chill acoustic ,1,Put Your Records On,Corinne Bailey Rae
124069,chill acoustic ,2,Banana Pancakes,Jack Johnson
124069,chill acoustic ,3,Better Together,Jack Johnson
124069,chill acoustic ,4,"Sitting, Waiting, Wishing",Jack Johnson
126329,Going out ,0,Drunk in Love,Beyoncé
126329,Going out ,1,Locked Away,R. City
126329,Going out ,2,Show Me Love,Sam Feldt
126329,Going out ,3,Love Myself,Hailee Steinfeld
126329,Going out ,4,Still Not a Player (Remix) - Radio Version,Big Pun
127088,Karaoke,0,Sara Smile,Daryl Hall & John Oates
127088,Karaoke,1,The First Cut Is The Deepest,Sheryl Crow
127088,Karaoke,2,With A Little Help From My Friends,Joe Cocker
127088,Karaoke,3,You Are So Beautiful,Joe Cocker
127088,Karaoke,4,Come Together,Joe Cocker
129906,Fall 2013,0,Hey Brother,Avicii
129906,Fall 2013,1,Dreaming,Smallpools
129906,Fall 2013,2,Titanium Acoustic Cover,Collin McLoughlin
129906,Fall 2013,3,"Hold On, We're Going Home",Drake
