model,pid,recommendation,positive,recall,precision,f1,wcoverage
gemma2-9b-it,12377,A$AP Forever - by A$AP Rocky,TRUE,0,0,NA,0.5388888888888889
gemma2-9b-it,12377,Bohemian Rhapsody - by Queen,FALSE,0,0,NA,0.06666666666666665
gemma2-9b-it,12377,Happy - by Pharrell Williams,FALSE,0,0,NA,0.6166666666666667
gemma2-9b-it,12377,Juicy - by The Notorious B.I.G.,TRUE,0,0,NA,0.39444444444444443
gemma2-9b-it,39560,Halo - by Beyoncé,TRUE,0,0,NA,0.5
gemma2-9b-it,39560,Happy - by Pharrell Williams,FALSE,0,0,NA,0.45555555555555555
gemma2-9b-it,39560,Someone Like You - by Adele,TRUE,0,0,NA,0.1861111111111111
gemma2-9b-it,39560,Uptown Funk - by Mark Ronson ft. Bruno Mars,FALSE,0.3333333333333333,1,0.5,0.35833333333333334
gemma2-9b-it,47551,Bohemian Rhapsody - by Queen,FALSE,0.2,1,0.33333333333333337,0.26666666666666666
gemma2-9b-it,47551,Lose Yourself - by Eminem,FALSE,0.25,1,0.4,0.4888888888888889
gemma2-9b-it,47551,Take Five - by Dave Brubeck Quartet,TRUE,0.5,0.2,0.28571428571428575,-0.12222222222222222
gemma2-9b-it,47551,The Girl from Ipanema - by Astrud Gilberto,TRUE,0.8333333333333334,1,0.9090909090909091,0.3055555555555555
gemma2-9b-it,66462,Jump Around - by House of Pain,FALSE,0,0,NA,0.33055555555555555
gemma2-9b-it,66462,Mr. Brightside - by The Killers,FALSE,0,0,NA,0.37777777777777777
gemma2-9b-it,66462,The Scientist - by Coldplay,TRUE,0.5,0.6666666666666666,0.5714285714285715,0.3388888888888889
gemma2-9b-it,66462,Waterfalls - by TLC,TRUE,0.25,1,0.4,0.5777777777777777
gemma2-9b-it,70116,Apocalypse - by Cigarettes After Sex,TRUE,0.5,0.5,0.5,0.8388888888888888
gemma2-9b-it,70116,Mr. Brightside - by The Killers,FALSE,0,0,NA,0.4166666666666667
gemma2-9b-it,70116,Shelter Song - by  Temples,TRUE,0.25,0.5,0.3333333333333333,0.30277777777777776
gemma2-9b-it,70116,Uptown Funk - by Mark Ronson ft. Bruno Mars,FALSE,0,0,NA,0.38611111111111107
gemma2-9b-it,72304,Can't Stop the Feeling! - by Justin Timberlake,FALSE,0,0,NA,0.2638888888888889
gemma2-9b-it,72304,Chasing Cars - by Snow Patrol,TRUE,1,1,1,0.9194444444444443
gemma2-9b-it,72304,The Scientist - by Coldplay,TRUE,0,0,NA,0.8527777777777777
gemma2-9b-it,72304,Uptown Funk - by Mark Ronson ft. Bruno Mars,FALSE,0,0,NA,0.21388888888888888
gemma2-9b-it,97461,Happy - by Pharrell Williams,FALSE,0.3333333333333333,1,0.5,0.42777777777777776
gemma2-9b-it,97461,Mr. Brightside - by The Killers,FALSE,0.2,1,0.33333333333333337,0.3722222222222222
gemma2-9b-it,97461,Shed - by The Hotelier,TRUE,1,0.6666666666666666,0.8,0.013888888888888888
gemma2-9b-it,97461,Twin Size Mattress - by The Front Bottoms,TRUE,1,0.6666666666666666,0.8,0.07777777777777778
gemma2-9b-it,101440,Happy - by Pharrell Williams,FALSE,1,0.5,0.6666666666666666,0.041666666666666685
gemma2-9b-it,101440,Scars - by James Bay,TRUE,1,0.5,0.6666666666666666,0.325
gemma2-9b-it,101440,Someone You Loved - by Lewis Capaldi,FALSE,1,0.5,0.6666666666666666,0.4583333333333333
gemma2-9b-it,101440,Us - by James Bay,TRUE,1,0.6666666666666666,0.8,0.40277777777777773
gemma2-9b-it,105584,Bohemian Rhapsody - by Queen,FALSE,0.25,1,0.4,0.4888888888888889
gemma2-9b-it,105584,Lose Yourself - by Eminem,FALSE,0.3333333333333333,1,0.5,0.29166666666666663
gemma2-9b-it,105584,Reckless Love - by Cory Asbury,TRUE,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.44166666666666665
gemma2-9b-it,105584,What a Beautiful Name - by Hillsong Worship,TRUE,0.25,1,0.4,0.5333333333333333
gemma2-9b-it,108488,Apocalypse - by Cigarettes After Sex,TRUE,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21944444444444444
gemma2-9b-it,108488,HUMBLE. - by Kendrick Lamar,FALSE,0.16666666666666666,1,0.2857142857142857,0.3055555555555555
gemma2-9b-it,108488,Mr. Brightside - by The Killers,FALSE,0.25,1,0.4,0.4666666666666666
gemma2-9b-it,108488,Shelter Song - by  Temples,TRUE,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5972222222222222
gemma2-9b-it,121994,A Milli - by Lil Wayne,TRUE,1,1,1,0.8416666666666666
gemma2-9b-it,121994,Bohemian Rhapsody - by Queen,FALSE,0,0,NA,0.3055555555555555
gemma2-9b-it,121994,Hotel California - by Eagles,FALSE,0,0,NA,0.3055555555555555
gemma2-9b-it,121994,Shake It Off - by Taylor Swift,TRUE,0.6666666666666666,1,0.8,0.9027777777777777
gemma2-9b-it,122684,Bohemian Rhapsody - by Queen,FALSE,0,0,NA,0.49166666666666664
gemma2-9b-it,122684,Don't Let Me Down - by The Chainsmokers ft. Daya,TRUE,0.6666666666666666,1,0.8,0.8444444444444444
gemma2-9b-it,122684,Something Just Like This - by The Chainsmokers & Coldplay,TRUE,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4333333333333333
gemma2-9b-it,122684,Stairway to Heaven - by Led Zeppelin,FALSE,0,0,NA,0.47222222222222215
gemma2-9b-it,124069,Flowers in Your Hair - by The Lumineers,TRUE,0.25,1,0.4,0.3972222222222222
gemma2-9b-it,124069,Mr. Brightside - by The Killers,FALSE,0,0,NA,0.21111111111111108
gemma2-9b-it,124069,Riptide - by Vance Joy,TRUE,0,0,NA,0.40277777777777773
gemma2-9b-it,124069,Uptown Funk - by Mark Ronson ft. Bruno Mars,FALSE,0,0,NA,0.41111111111111115
gemma2-9b-it,126329,Bohemian Rhapsody - by Queen,FALSE,0,0,NA,-0.2194444444444444
gemma2-9b-it,126329,Can't Stop the Feeling! - by Justin Timberlake,TRUE,0,0,NA,0.2388888888888889
gemma2-9b-it,126329,Hallelujah - by Leonard Cohen,FALSE,0,0,NA,0.05277777777777777
gemma2-9b-it,126329,Uptown Funk - by Mark Ronson ft. Bruno Mars,TRUE,0.5,1,0.6666666666666666,0.7805555555555556
gemma2-9b-it,127088,Bohemian Rhapsody - by Queen,TRUE,0.16666666666666666,1,0.2857142857142857,0.3666666666666667
gemma2-9b-it,127088,Free Bird - by Lynyrd Skynyrd,FALSE,0.3333333333333333,1,0.5,0.4166666666666667
gemma2-9b-it,127088,Stairway to Heaven - by Led Zeppelin,FALSE,0,0,NA,0.019444444444444448
gemma2-9b-it,127088,Sweet Caroline - by Neil Diamond,TRUE,0.5,1,0.6666666666666666,0.861111111111111
gemma2-9b-it,129906,Royals - by Lorde,FALSE,0,0,NA,0.38055555555555554
gemma2-9b-it,129906,Shelter Song - by  Temples,TRUE,1,1,1,0.7916666666666666
gemma2-9b-it,129906,The Nights - by Avicii,TRUE,1,1,1,0.6583333333333332
gemma2-9b-it,129906,Uptown Funk - by Mark Ronson ft. Bruno Mars,FALSE,0,0,NA,0.325
gemma2-9b-it,136224,Bohemian Rhapsody - by Queen,FALSE,0.16666666666666666,1,0.2857142857142857,0.3361111111111111
gemma2-9b-it,136224,I'll Be There - by The Jackson 5,TRUE,0,0,NA,0.14166666666666666
gemma2-9b-it,136224,Lose Yourself - by Eminem,FALSE,0,0,NA,0.586111111111111
gemma2-9b-it,136224,Shop Around - by The Miracles,TRUE,0,0,NA,0.26666666666666666
gemma2-9b-it,138649,Mr. Brightside - by The Killers,FALSE,0,0,NA,0.225
gemma2-9b-it,138649,Skinny Love - by Bon Iver,TRUE,0,0,NA,0.3555555555555555
gemma2-9b-it,138649,The Scientist - by Coldplay,TRUE,0,0,NA,0.4972222222222222
gemma2-9b-it,138649,Uptown Funk - by Mark Ronson ft. Bruno Mars,FALSE,0.2,1,0.33333333333333337,0.27499999999999997
gemma2-9b-it,148000,Creep - by Radiohead,FALSE,1,0.5,0.6666666666666666,0.8416666666666666
gemma2-9b-it,148000,Good Day - by Nappy Roots,TRUE,0.6666666666666666,0.4,0.5,0.5555555555555556
gemma2-9b-it,148000,Hallelujah - by Leonard Cohen,FALSE,1,0.3333333333333333,0.5,0.986111111111111
gemma2-9b-it,148000,Rise Up - by Andra Day,TRUE,1,0.5,0.6666666666666666,0.46388888888888885
gemma2-9b-it,157594,Bohemian Rhapsody - by Queen,FALSE,0.3333333333333333,1,0.5,0.15833333333333333
gemma2-9b-it,157594,Hey Ya! - by Outkast,FALSE,0.5,1,0.6666666666666666,0.6611111111111111
gemma2-9b-it,157594,Levels - by Avicii,TRUE,0.25,1,0.4,0.7138888888888889
gemma2-9b-it,157594,Titanium - by David Guetta ft. Sia,TRUE,0.3333333333333333,1,0.5,0.6222222222222222
gemma2-9b-it,170573,Blinding Lights - by The Weeknd,TRUE,0.25,1,0.4,0.3
gemma2-9b-it,170573,Can't Feel My Face - by The Weeknd,TRUE,0.16666666666666666,1,0.2857142857142857,0.3055555555555555
gemma2-9b-it,170573,Ring of Fire - by Johnny Cash,FALSE,0,0,NA,0.3055555555555555
gemma2-9b-it,170573,Wagon Wheel - by Old Crow Medicine Show,FALSE,0,0,NA,0.26666666666666666
gemma2-9b-it,172412,Bohemian Rhapsody - by Queen,FALSE,0,0,NA,0.39722222222222225
gemma2-9b-it,172412,Company - by Justin Bieber,TRUE,1,1,1,0.7138888888888889
gemma2-9b-it,172412,Peaches - by Justin Bieber ft. Daniel Caesar & Giveon,TRUE,0.6,1,0.7499999999999999,0.35833333333333334
gemma2-9b-it,172412,Stairway to Heaven - by Led Zeppelin,FALSE,0,0,NA,0.7472222222222222
gemma2-9b-it,173203,7 Rings - by Ariana Grande,TRUE,1,1,1,0.922222222222222
gemma2-9b-it,173203,All of Me - by John Legend,TRUE,1,1,1,1
gemma2-9b-it,173203,Bohemian Rhapsody - by Queen,FALSE,0,0,NA,0.29444444444444445
