ranking,model,uid,recommendation
"[{'name': 'liked_book_1', 'value': 'At Wits End - by Erma Bombeck'}, {'name': 'liked_book_2', 'value': 'FIRST WIVES CLUB - by Olivia Goldsmith'}, {'name': 'liked_book_3', 'value': 'Zombies of the Gene Pool - by Sharyn McCrumb'}, {'name': 'disliked_book_1', 'value': ""A Mother's Trial - by Nancy Wright""}, {'name': 'disliked_book_2', 'value': 'Black Friday - by James Patterson'}, {'name': 'disliked_book_3', 'value': 'The IDIC Epidemic (Star Trek, Book 38) - by Jean Lorrah'}]",gemma2-9b-it,2276,The Girl on the Train - by Paula Hawkins
"[{'name': 'liked_book_1', 'value': 'At Wits End - by Erma Bombeck'}, {'name': 'liked_book_2', 'value': 'FIRST WIVES CLUB - by Olivia Goldsmith'}, {'name': 'liked_book_3', 'value': 'Zombies of the Gene Pool - by Sharyn McCrumb'}, {'name': 'disliked_book_1', 'value': ""A Mother's Trial - by Nancy Wright""}, {'name': 'disliked_book_2', 'value': 'Black Friday - by James Patterson'}, {'name': 'disliked_book_3', 'value': 'The IDIC Epidemic (Star Trek, Book 38) - by Jean Lorrah'}]",gemma2-9b-it,2276,The Rosie Project - by Graeme Simsion
"[{'name': 'disliked_book_1', 'value': ""A Mother's Trial - by Nancy Wright""}, {'name': 'liked_book_1', 'value': 'At Wits End - by Erma Bombeck'}, {'name': 'liked_book_2', 'value': 'FIRST WIVES CLUB - by Olivia Goldsmith'}, {'name': 'liked_book_3', 'value': 'Zombies of the Gene Pool - by Sharyn McCrumb'}, {'name': 'disliked_book_2', 'value': 'Black Friday - by James Patterson'}, {'name': 'disliked_book_3', 'value': 'The IDIC Epidemic (Star Trek, Book 38) - by Jean Lorrah'}]",gemma2-9b-it,2276,The Silent Patient - by Alex Michaelides
"[{'name': 'liked_book_1', 'value': 'At Wits End - by Erma Bombeck'}, {'name': 'liked_book_2', 'value': 'FIRST WIVES CLUB - by Olivia Goldsmith'}, {'name': 'liked_book_3', 'value': 'Zombies of the Gene Pool - by Sharyn McCrumb'}, {'name': 'disliked_book_1', 'value': ""A Mother's Trial - by Nancy Wright""}, {'name': 'disliked_book_2', 'value': 'Black Friday - by James Patterson'}, {'name': 'disliked_book_3', 'value': 'The IDIC Epidemic (Star Trek, Book 38) - by Jean Lorrah'}]",gemma2-9b-it,2276,"Where'd You Go, Bernadette - by Maria Semple"
"[{'name': 'liked_book_2', 'value': 'Truth, The - by Terry Pratchett'}, {'name': 'liked_book_3', 'value': 'Thief of Time - by Terry Pratchett'}, {'name': 'liked_book_1', 'value': 'Devices and Desires - by Phyllis White'}, {'name': 'disliked_book_1', 'value': 'The Face of the Waters - by Robert Silverberg'}, {'name': 'disliked_book_2', 'value': ""The No. 1 Ladies' Detective Agency (Today Show Book Club #8) - by Alexander McCall Smith""}, {'name': 'disliked_book_3', 'value': ""Wolf's Head, Wolf's Heart (Wolf) - by Jane Lindskold""}]",gemma2-9b-it,8864,Small Gods - by Terry Pratchett
"[{'name': 'disliked_book_1', 'value': 'The Face of the Waters - by Robert Silverberg'}, {'name': 'disliked_book_2', 'value': ""The No. 1 Ladies' Detective Agency (Today Show Book Club #8) - by Alexander McCall Smith""}, {'name': 'disliked_book_3', 'value': ""Wolf's Head, Wolf's Heart (Wolf) - by Jane Lindskold""}, {'name': 'liked_book_1', 'value': 'Devices and Desires - by Phyllis White'}, {'name': 'liked_book_2', 'value': 'Truth, The - by Terry Pratchett'}, {'name': 'liked_book_3', 'value': 'Thief of Time - by Terry Pratchett'}]",gemma2-9b-it,8864,The Left Hand of Darkness - by Ursula K. Le Guin
"[{'name': 'liked_book_2', 'value': 'Truth, The - by Terry Pratchett'}, {'name': 'liked_book_3', 'value': 'Thief of Time - by Terry Pratchett'}, {'name': 'liked_book_1', 'value': 'Devices and Desires - by Phyllis White'}, {'name': 'disliked_book_1', 'value': 'The Face of the Waters - by Robert Silverberg'}, {'name': 'disliked_book_2', 'value': ""The No. 1 Ladies' Detective Agency (Today Show Book Club #8) - by Alexander McCall Smith""}, {'name': 'disliked_book_3', 'value': ""Wolf's Head, Wolf's Heart (Wolf) - by Jane Lindskold""}]",gemma2-9b-it,8864,The Long Earth - by Terry Pratchett & Stephen Baxter
"[{'name': 'liked_book_2', 'value': 'Truth, The - by Terry Pratchett'}, {'name': 'liked_book_3', 'value': 'Thief of Time - by Terry Pratchett'}, {'name': 'disliked_book_1', 'value': 'The Face of the Waters - by Robert Silverberg'}, {'name': 'disliked_book_2', 'value': ""The No. 1 Ladies' Detective Agency (Today Show Book Club #8) - by Alexander McCall Smith""}, {'name': 'liked_book_1', 'value': 'Devices and Desires - by Phyllis White'}, {'name': 'disliked_book_3', 'value': ""Wolf's Head, Wolf's Heart (Wolf) - by Jane Lindskold""}]",gemma2-9b-it,8864,The Mote in God's Eye - by Larry Niven & Jerry Pournelle
"[{'name': 'liked_book_3', 'value': 'Stupid White Men : ...And Other Sorry Excuses for the State of the Nation! - by Michael Moore'}, {'name': 'liked_book_1', 'value': 'Report From Engine Co. 82 - by Dennis Smith'}, {'name': 'liked_book_2', 'value': '48 shades of brown - by Nick Earls'}, {'name': 'disliked_book_2', 'value': 'Pelicans and Chihuahus and Other Urban Legends: Talking About Folklore (Uqp Paperbacks) - by William Neville Scott'}, {'name': 'disliked_book_1', 'value': 'Lonely Planet Australia (Lonely Planet Australia) - by Paul Harding'}, {'name': 'disliked_book_3', 'value': 'The Starr Evidence - by Bill Clinton'}]",gemma2-9b-it,12122,The Da Vinci Code - by Dan Brown
"[{'name': 'liked_book_1', 'value': 'Report From Engine Co. 82 - by Dennis Smith'}, {'name': 'liked_book_3', 'value': 'Stupid White Men : ...And Other Sorry Excuses for the State of the Nation! - by Michael Moore'}, {'name': 'liked_book_2', 'value': '48 shades of brown - by Nick Earls'}, {'name': 'disliked_book_1', 'value': 'Lonely Planet Australia (Lonely Planet Australia) - by Paul Harding'}, {'name': 'disliked_book_2', 'value': 'Pelicans and Chihuahus and Other Urban Legends: Talking About Folklore (Uqp Paperbacks) - by William Neville Scott'}, {'name': 'disliked_book_3', 'value': 'The Starr Evidence - by Bill Clinton'}]",gemma2-9b-it,12122,The Fire Next Time - by James Baldwin
