ranking,model,uid,positive,recommendation
"[{'name': 'liked_movie_2', 'value': 'John Wick: Chapter 3 - Parabellum'}, {'name': 'liked_movie_3', 'value': 'Star Wars: Episode I - The Phantom Menace'}, {'name': 'disliked_movie_3', 'value': 'Saving Private Ryan'}, {'name': 'liked_movie_1', 'value': 'The Fast and the Furious'}, {'name': 'disliked_movie_1', 'value': 'Spider-Man: Homecoming'}, {'name': 'disliked_movie_2', 'value': 'Batman Begins'}]",gemma2-9b-it,59bda1adab8d830001fe5e4b,FALSE,Dunkirk
"[{'name': 'liked_movie_2', 'value': 'John Wick: Chapter 3 - Parabellum'}, {'name': 'liked_movie_1', 'value': 'The Fast and the Furious'}, {'name': 'liked_movie_3', 'value': 'Star Wars: Episode I - The Phantom Menace'}, {'name': 'disliked_movie_1', 'value': 'Spider-Man: Homecoming'}, {'name': 'disliked_movie_2', 'value': 'Batman Begins'}, {'name': 'disliked_movie_3', 'value': 'Saving Private Ryan'}]",gemma2-9b-it,59bda1adab8d830001fe5e4b,TRUE,John Wick
"[{'name': 'liked_movie_1', 'value': 'The Fast and the Furious'}, {'name': 'liked_movie_2', 'value': 'John Wick: Chapter 3 - Parabellum'}, {'name': 'liked_movie_3', 'value': 'Star Wars: Episode I - The Phantom Menace'}, {'name': 'disliked_movie_1', 'value': 'Spider-Man: Homecoming'}, {'name': 'disliked_movie_2', 'value': 'Batman Begins'}, {'name': 'disliked_movie_3', 'value': 'Saving Private Ryan'}]",gemma2-9b-it,59bda1adab8d830001fe5e4b,TRUE,Mad Max: Fury Road
"[{'name': 'disliked_movie_2', 'value': 'Batman Begins'}, {'name': 'liked_movie_1', 'value': 'The Fast and the Furious'}, {'name': 'liked_movie_2', 'value': 'John Wick: Chapter 3 - Parabellum'}, {'name': 'disliked_movie_1', 'value': 'Spider-Man: Homecoming'}, {'name': 'liked_movie_3', 'value': 'Star Wars: Episode I - The Phantom Menace'}, {'name': 'disliked_movie_3', 'value': 'Saving Private Ryan'}]",gemma2-9b-it,59bda1adab8d830001fe5e4b,FALSE,The Dark Knight
"[{'name': 'liked_movie_1', 'value': 'Blade Runner'}, {'name': 'liked_movie_3', 'value': 'The Blair Witch Project'}, {'name': 'liked_movie_2', 'value': 'Heat'}, {'name': 'disliked_movie_2', 'value': 'Snakes on a Plane'}, {'name': 'disliked_movie_1', 'value': 'Step Brothers'}, {'name': 'disliked_movie_3', 'value': 'The Passion of the Christ'}]",gemma2-9b-it,5a09f01f9b760100013a70ee,TRUE,Alien
"[{'name': 'liked_movie_1', 'value': 'Blade Runner'}, {'name': 'liked_movie_2', 'value': 'Heat'}, {'name': 'liked_movie_3', 'value': 'The Blair Witch Project'}, {'name': 'disliked_movie_1', 'value': 'Step Brothers'}, {'name': 'disliked_movie_2', 'value': 'Snakes on a Plane'}, {'name': 'disliked_movie_3', 'value': 'The Passion of the Christ'}]",gemma2-9b-it,5a09f01f9b760100013a70ee,TRUE,Seven
"[{'name': 'liked_movie_3', 'value': 'The Blair Witch Project'}, {'name': 'disliked_movie_3', 'value': 'The Passion of the Christ'}, {'name': 'liked_movie_1', 'value': 'Blade Runner'}, {'name': 'liked_movie_2', 'value': 'Heat'}, {'name': 'disliked_movie_1', 'value': 'Step Brothers'}, {'name': 'disliked_movie_2', 'value': 'Snakes on a Plane'}]",gemma2-9b-it,5a09f01f9b760100013a70ee,FALSE,The Da Vinci Code
"[{'name': 'liked_movie_1', 'value': 'Blade Runner'}, {'name': 'liked_movie_2', 'value': 'Heat'}, {'name': 'liked_movie_3', 'value': 'The Blair Witch Project'}, {'name': 'disliked_movie_1', 'value': 'Step Brothers'}, {'name': 'disliked_movie_2', 'value': 'Snakes on a Plane'}, {'name': 'disliked_movie_3', 'value': 'The Passion of the Christ'}]",gemma2-9b-it,5a09f01f9b760100013a70ee,FALSE,The Hangover
"[{'name': 'disliked_movie_3', 'value': 'Transformers: The Last Knight'}, {'name': 'liked_movie_1', 'value': 'Once Upon a Time in America'}, {'name': 'liked_movie_2', 'value': 'Corpus Christi'}, {'name': 'liked_movie_3', 'value': 'Lucy'}, {'name': 'disliked_movie_1', 'value': 'Another Round'}, {'name': 'disliked_movie_2', 'value': 'Parasite'}]",gemma2-9b-it,5badf0aeae1d020001df2cc7,FALSE,Fast & Furious
"[{'name': 'liked_movie_1', 'value': 'Once Upon a Time in America'}, {'name': 'liked_movie_2', 'value': 'Corpus Christi'}, {'name': 'liked_movie_3', 'value': 'Lucy'}, {'name': 'disliked_movie_3', 'value': 'Transformers: The Last Knight'}, {'name': 'disliked_movie_1', 'value': 'Another Round'}, {'name': 'disliked_movie_2', 'value': 'Parasite'}]",gemma2-9b-it,5badf0aeae1d020001df2cc7,TRUE,Goodfellas
"[{'name': 'liked_movie_1', 'value': 'Once Upon a Time in America'}, {'name': 'liked_movie_2', 'value': 'Corpus Christi'}, {'name': 'disliked_movie_3', 'value': 'Transformers: The Last Knight'}, {'name': 'liked_movie_3', 'value': 'Lucy'}, {'name': 'disliked_movie_1', 'value': 'Another Round'}, {'name': 'disliked_movie_2', 'value': 'Parasite'}]",gemma2-9b-it,5badf0aeae1d020001df2cc7,FALSE,The Revenant
"[{'name': 'liked_movie_1', 'value': 'Once Upon a Time in America'}, {'name': 'liked_movie_2', 'value': 'Corpus Christi'}, {'name': 'liked_movie_3', 'value': 'Lucy'}, {'name': 'disliked_movie_1', 'value': 'Another Round'}, {'name': 'disliked_movie_2', 'value': 'Parasite'}, {'name': 'disliked_movie_3', 'value': 'Transformers: The Last Knight'}]",gemma2-9b-it,5badf0aeae1d020001df2cc7,TRUE,The Wrestler
"[{'name': 'disliked_movie_2', 'value': 'Bloody Pit of Horror'}, {'name': 'liked_movie_1', 'value': 'The Lord of the Rings: The Fellowship of the Ring'}, {'name': 'liked_movie_2', 'value': 'The Lord of the Rings: The Return of the King'}, {'name': 'liked_movie_3', 'value': 'The Lord of the Rings: The Two Towers'}, {'name': 'disliked_movie_1', 'value': 'Lord of War'}, {'name': 'disliked_movie_3', 'value': 'Christina Aguilera: Ven conmigo - Solamente tú'}]",gemma2-9b-it,5c48734767be2c0001074eb6,FALSE,The Blair Witch Project
"[{'name': 'disliked_movie_1', 'value': 'Lord of War'}, {'name': 'liked_movie_1', 'value': 'The Lord of the Rings: The Fellowship of the Ring'}, {'name': 'liked_movie_2', 'value': 'The Lord of the Rings: The Return of the King'}, {'name': 'liked_movie_3', 'value': 'The Lord of the Rings: The Two Towers'}, {'name': 'disliked_movie_2', 'value': 'Bloody Pit of Horror'}, {'name': 'disliked_movie_3', 'value': 'Christina Aguilera: Ven conmigo - Solamente tú'}]",gemma2-9b-it,5c48734767be2c0001074eb6,FALSE,The Fast and the Furious
"[{'name': 'liked_movie_1', 'value': 'The Lord of the Rings: The Fellowship of the Ring'}, {'name': 'liked_movie_2', 'value': 'The Lord of the Rings: The Return of the King'}, {'name': 'liked_movie_3', 'value': 'The Lord of the Rings: The Two Towers'}, {'name': 'disliked_movie_1', 'value': 'Lord of War'}, {'name': 'disliked_movie_2', 'value': 'Bloody Pit of Horror'}, {'name': 'disliked_movie_3', 'value': 'Christina Aguilera: Ven conmigo - Solamente tú'}]",gemma2-9b-it,5c48734767be2c0001074eb6,TRUE,The Fellowship of the Ring
"[{'name': 'liked_movie_1', 'value': 'The Lord of the Rings: The Fellowship of the Ring'}, {'name': 'liked_movie_2', 'value': 'The Lord of the Rings: The Return of the King'}, {'name': 'liked_movie_3', 'value': 'The Lord of the Rings: The Two Towers'}, {'name': 'disliked_movie_1', 'value': 'Lord of War'}, {'name': 'disliked_movie_2', 'value': 'Bloody Pit of Horror'}, {'name': 'disliked_movie_3', 'value': 'Christina Aguilera: Ven conmigo - Solamente tú'}]",gemma2-9b-it,5c48734767be2c0001074eb6,TRUE,The Hobbit: An Unexpected Journey
