ranking,model,pid,recommendation
"[{'name': 'song_1', 'value': 'through the late night - by Travis Scott'}, {'name': 'song_3', 'value': 'Sick & Tired - by Denzel Curry'}, {'name': 'song_4', 'value': 'DEVASTATED - by Joey Bada$$'}, {'name': 'song_5', 'value': 'We Fcuk - by JAYLIEN'}, {'name': 'playlist_name', 'value': 'Songs I Like'}, {'name': 'song_2', 'value': 'Our Glorious Leader (Japanese Trump Commercial Theme) - Original Mix - by Mike Diva'}]",gemma2-9b-it,12377,A$AP Forever - by A$AP Rocky
"[{'name': 'song_1', 'value': 'through the late night - by Travis Scott'}, {'name': 'song_3', 'value': 'Sick & Tired - by Denzel Curry'}, {'name': 'song_4', 'value': 'DEVASTATED - by Joey Bada$$'}, {'name': 'song_5', 'value': 'We Fcuk - by JAYLIEN'}, {'name': 'song_2', 'value': 'Our Glorious Leader (Japanese Trump Commercial Theme) - Original Mix - by Mike Diva'}, {'name': 'playlist_name', 'value': 'Songs I Like'}]",gemma2-9b-it,12377,Bohemian Rhapsody - by Queen
"[{'name': 'song_1', 'value': 'through the late night - by Travis Scott'}, {'name': 'song_3', 'value': 'Sick & Tired - by Denzel Curry'}, {'name': 'song_4', 'value': 'DEVASTATED - by Joey Bada$$'}, {'name': 'song_5', 'value': 'We Fcuk - by JAYLIEN'}, {'name': 'song_2', 'value': 'Our Glorious Leader (Japanese Trump Commercial Theme) - Original Mix - by Mike Diva'}, {'name': 'playlist_name', 'value': 'Songs I Like'}]",gemma2-9b-it,12377,Happy - by Pharrell Williams
"[{'name': 'song_4', 'value': 'DEVASTATED - by Joey Bada$$'}, {'name': 'song_3', 'value': 'Sick & Tired - by Denzel Curry'}, {'name': 'song_1', 'value': 'through the late night - by Travis Scott'}, {'name': 'song_5', 'value': 'We Fcuk - by JAYLIEN'}, {'name': 'playlist_name', 'value': 'Songs I Like'}, {'name': 'song_2', 'value': 'Our Glorious Leader (Japanese Trump Commercial Theme) - Original Mix - by Mike Diva'}]",gemma2-9b-it,12377,Juicy - by The Notorious B.I.G.
"[{'name': 'song_5', 'value': 'The Climb - by Miley Cyrus'}, {'name': 'song_1', 'value': 'Because of You - by Kelly Clarkson'}, {'name': 'song_2', 'value': 'Breathe Me - by Sia'}, {'name': 'song_4', 'value': 'For the First Time - by The Script'}, {'name': 'song_3', 'value': 'Fall - Live - by Justin Bieber'}, {'name': 'playlist_name', 'value': 'feels'}]",gemma2-9b-it,39560,Halo - by Beyoncé
"[{'name': 'song_2', 'value': 'Breathe Me - by Sia'}, {'name': 'song_1', 'value': 'Because of You - by Kelly Clarkson'}, {'name': 'song_3', 'value': 'Fall - Live - by Justin Bieber'}, {'name': 'song_4', 'value': 'For the First Time - by The Script'}, {'name': 'song_5', 'value': 'The Climb - by Miley Cyrus'}, {'name': 'playlist_name', 'value': 'feels'}]",gemma2-9b-it,39560,Happy - by Pharrell Williams
"[{'name': 'song_1', 'value': 'Because of You - by Kelly Clarkson'}, {'name': 'song_2', 'value': 'Breathe Me - by Sia'}, {'name': 'song_4', 'value': 'For the First Time - by The Script'}, {'name': 'song_5', 'value': 'The Climb - by Miley Cyrus'}, {'name': 'song_3', 'value': 'Fall - Live - by Justin Bieber'}, {'name': 'playlist_name', 'value': 'feels'}]",gemma2-9b-it,39560,Someone Like You - by Adele
"[{'name': 'song_2', 'value': 'Breathe Me - by Sia'}, {'name': 'song_1', 'value': 'Because of You - by Kelly Clarkson'}, {'name': 'song_5', 'value': 'The Climb - by Miley Cyrus'}, {'name': 'song_4', 'value': 'For the First Time - by The Script'}, {'name': 'song_3', 'value': 'Fall - Live - by Justin Bieber'}, {'name': 'playlist_name', 'value': 'feels'}]",gemma2-9b-it,39560,Uptown Funk - by Mark Ronson ft. Bruno Mars
"[{'name': 'playlist_name', 'value': 'jazz'}, {'name': 'song_1', 'value': 'Desafinado - Stereo Version - by Stan Getz'}, {'name': 'song_2', 'value': 'Say Hey - by Branford Marsalis Quartet'}, {'name': 'song_3', 'value': 'Knocked Out The Box - by Branford Marsalis Quartet'}, {'name': 'song_4', 'value': 'Again Never - by Branford Marsalis Quartet'}, {'name': 'song_5', 'value': ""Mo' Better Blues - by Branford Marsalis Quartet""}]",gemma2-9b-it,47551,Bohemian Rhapsody - by Queen
"[{'name': 'playlist_name', 'value': 'jazz'}, {'name': 'song_1', 'value': 'Desafinado - Stereo Version - by Stan Getz'}, {'name': 'song_2', 'value': 'Say Hey - by Branford Marsalis Quartet'}, {'name': 'song_3', 'value': 'Knocked Out The Box - by Branford Marsalis Quartet'}, {'name': 'song_4', 'value': 'Again Never - by Branford Marsalis Quartet'}, {'name': 'song_5', 'value': ""Mo' Better Blues - by Branford Marsalis Quartet""}]",gemma2-9b-it,47551,Lose Yourself - by Eminem
