model,uid,recommendation,variable,value
gemma2-9b-it,2276,The Girl on the Train - by Paula Hawkins,liked_book_1,-0.03333333333333333
gemma2-9b-it,2276,The Rosie Project - by Graeme Simsion,liked_book_1,0.31666666666666665
gemma2-9b-it,2276,The Silent Patient - by Alex Michaelides,liked_book_1,0.7833333333333332
gemma2-9b-it,2276,"Where'd You Go, Bernadette - by Maria Semple",liked_book_1,-0.016666666666666666
gemma2-9b-it,8864,Small Gods - by Terry Pratchett,liked_book_1,0.16666666666666666
gemma2-9b-it,8864,The Left Hand of Darkness - by Ursula K. Le Guin,liked_book_1,0.7333333333333333
gemma2-9b-it,8864,The Long Earth - by Terry Pratchett & Stephen Baxter,liked_book_1,0.16666666666666666
gemma2-9b-it,8864,The Mote in God's Eye - by Larry Niven & Jerry Pournelle,liked_book_1,0.16666666666666666
gemma2-9b-it,12122,The Da Vinci Code - by Dan Brown,liked_book_1,-0.06666666666666667
gemma2-9b-it,12122,The Fire Next Time - by James Baldwin,liked_book_1,0.05
gemma2-9b-it,12122,The Girl on the Train - by Paula Hawkins,liked_book_1,0.16666666666666666
gemma2-9b-it,12122,The Nickel Boys - by Colson Whitehead,liked_book_1,0.15
gemma2-9b-it,14998,Dune - by Frank Herbert,liked_book_1,0.7499999999999999
gemma2-9b-it,14998,The Chronicles of Amber - by Roger Zelazny,liked_book_1,0.04999999999999999
gemma2-9b-it,14998,The Hitchhiker's Guide to the Galaxy - by Douglas Adams,liked_book_1,0.25
gemma2-9b-it,14998,The Time Machine - by H.G. Wells,liked_book_1,0.08333333333333331
gemma2-9b-it,15957,Fifty Shades of Grey - by E. L. James,liked_book_1,0.5833333333333333
gemma2-9b-it,15957,The Da Vinci Code - by Dan Brown,liked_book_1,0.3833333333333333
gemma2-9b-it,15957,The Devil Wears Prada - by Lauren Weisberger,liked_book_1,0.25
gemma2-9b-it,15957,The Guernsey Literary and Potato Peel Pie Society - by Mary Ann Shaffer,liked_book_1,0.16666666666666666
gemma2-9b-it,16777,A Tale of Two Cities - by Charles Dickens,liked_book_1,0.09999999999999999
gemma2-9b-it,16777,Far From the Madding Crowd - by Thomas Hardy,liked_book_1,0.0
gemma2-9b-it,16777,The Da Vinci Code - by Dan Brown,liked_book_1,0.21666666666666665
gemma2-9b-it,16777,The Hitchhiker's Guide to the Galaxy - by Douglas Adams,liked_book_1,0.23333333333333334
gemma2-9b-it,19760,Hatchet - by Gary Paulsen,liked_book_1,0.9499999999999998
gemma2-9b-it,19760,The Lies of Locke Lamora - by Scott Lynch,liked_book_1,0.16666666666666666
gemma2-9b-it,19760,The Lost Symbol - by Dan Brown,liked_book_1,0.18333333333333332
gemma2-9b-it,19760,The Name of the Wind - by Patrick Rothfuss,liked_book_1,0.16666666666666666
gemma2-9b-it,27740,The Da Vinci Code - by Dan Brown,liked_book_1,-0.3333333333333333
gemma2-9b-it,27740,The Mists of Avalon - by Marion Zimmer Bradley,liked_book_1,0.0
gemma2-9b-it,27740,The Moon is a Harsh Mistress - by Robert Heinlein,liked_book_1,0.16666666666666666
gemma2-9b-it,27740,The Silent Patient - by Alex Michaelides,liked_book_1,-0.03333333333333333
gemma2-9b-it,28735,A Walk in the Woods - by Bill Bryson,liked_book_1,0.19999999999999998
gemma2-9b-it,28735,The Handmaid's Tale - by Margaret Atwood,liked_book_1,0.3
gemma2-9b-it,28735,The Road - by Cormac McCarthy,liked_book_1,0.23333333333333334
gemma2-9b-it,28735,The Snow Leopard - by Peter Matthiessen,liked_book_1,0.05
gemma2-9b-it,30276,Gone Girl - by Gillian Flynn,liked_book_1,0.06666666666666667
gemma2-9b-it,30276,The Last Mrs. Parrish - by Liv Constantine,liked_book_1,0.21666666666666667
gemma2-9b-it,30276,The Nightingale - by Kristin Hannah,liked_book_1,0.6833333333333332
gemma2-9b-it,30276,The Secret Keeper - by Kate Morton,liked_book_1,0.19999999999999998
