model,uid,recommendation,variable,value
gemma2-9b-it,59bda1adab8d830001fe5e4b,Dunkirk,disliked_movie_1,0.16666666666666666
gemma2-9b-it,59bda1adab8d830001fe5e4b,John Wick,disliked_movie_1,0.19999999999999998
gemma2-9b-it,59bda1adab8d830001fe5e4b,Mad Max: Fury Road,disliked_movie_1,-0.016666666666666666
gemma2-9b-it,59bda1adab8d830001fe5e4b,The Dark Knight,disliked_movie_1,0.16666666666666666
gemma2-9b-it,5a09f01f9b760100013a70ee,Alien,disliked_movie_1,0.16666666666666666
gemma2-9b-it,5a09f01f9b760100013a70ee,Seven,disliked_movie_1,0.016666666666666666
gemma2-9b-it,5a09f01f9b760100013a70ee,The Da Vinci Code,disliked_movie_1,-0.08333333333333331
gemma2-9b-it,5a09f01f9b760100013a70ee,The Hangover,disliked_movie_1,0.7
gemma2-9b-it,5badf0aeae1d020001df2cc7,Fast & Furious,disliked_movie_1,0.11666666666666665
gemma2-9b-it,5badf0aeae1d020001df2cc7,Goodfellas,disliked_movie_1,0.016666666666666666
gemma2-9b-it,5badf0aeae1d020001df2cc7,The Revenant,disliked_movie_1,0.19999999999999998
gemma2-9b-it,5badf0aeae1d020001df2cc7,The Wrestler,disliked_movie_1,0.06666666666666667
gemma2-9b-it,5c48734767be2c0001074eb6,The Blair Witch Project,disliked_movie_1,0.16666666666666666
gemma2-9b-it,5c48734767be2c0001074eb6,The Fast and the Furious,disliked_movie_1,0.04999999999999999
gemma2-9b-it,5c48734767be2c0001074eb6,The Fellowship of the Ring,disliked_movie_1,0.016666666666666666
gemma2-9b-it,5c48734767be2c0001074eb6,The Hobbit: An Unexpected Journey,disliked_movie_1,0.0
gemma2-9b-it,5c522508fcbef20001939a03,Beetlejuice,disliked_movie_1,0.08333333333333331
gemma2-9b-it,5c522508fcbef20001939a03,Meet the Spartans,disliked_movie_1,0.23333333333333334
gemma2-9b-it,5c522508fcbef20001939a03,The Croods,disliked_movie_1,0.03333333333333333
gemma2-9b-it,5c522508fcbef20001939a03,The Hangover,disliked_movie_1,-0.05
gemma2-9b-it,5c8fe91371f3100016181dfd,Alien: Resurrection,disliked_movie_1,0.16666666666666666
gemma2-9b-it,5c8fe91371f3100016181dfd,Blade Runner 2049,disliked_movie_1,0.1
gemma2-9b-it,5c8fe91371f3100016181dfd,The Lord of the Rings: The Fellowship of the Ring,disliked_movie_1,-0.03333333333333335
gemma2-9b-it,5c8fe91371f3100016181dfd,Transformers,disliked_movie_1,0.35
gemma2-9b-it,5c9ea0af12505500168d1bb4,2001: A Space Odyssey,disliked_movie_1,-0.03333333333333333
gemma2-9b-it,5c9ea0af12505500168d1bb4,Arrival,disliked_movie_1,0.05
gemma2-9b-it,5c9ea0af12505500168d1bb4,The Room,disliked_movie_1,0.16666666666666666
gemma2-9b-it,5c9ea0af12505500168d1bb4,Transformers: The Last Knight,disliked_movie_1,0.7666666666666666
gemma2-9b-it,5cbfa7b957cb1b0001698a35,Mad Max: Fury Road,disliked_movie_1,0.25
gemma2-9b-it,5cbfa7b957cb1b0001698a35,Moonrise Kingdom,disliked_movie_1,-0.016666666666666666
gemma2-9b-it,5cbfa7b957cb1b0001698a35,Singin' in the Rain,disliked_movie_1,0.03333333333333333
gemma2-9b-it,5cbfa7b957cb1b0001698a35,The Fast and the Furious,disliked_movie_1,0.11666666666666667
gemma2-9b-it,5cd5419ba9a8c40019639382,Avengers: Endgame,disliked_movie_1,0.6166666666666666
gemma2-9b-it,5cd5419ba9a8c40019639382,La La Land,disliked_movie_1,0.23333333333333334
gemma2-9b-it,5cd5419ba9a8c40019639382,The Dark Knight Rises,disliked_movie_1,0.26666666666666666
gemma2-9b-it,5cd5419ba9a8c40019639382,The Royal Tenenbaums,disliked_movie_1,0.25
gemma2-9b-it,5d66f23706e589000157e7ec,Cast Away,disliked_movie_1,0.0
gemma2-9b-it,5d66f23706e589000157e7ec,The Lobster,disliked_movie_1,0.19999999999999998
gemma2-9b-it,5d66f23706e589000157e7ec,The Shawshank Redemption,disliked_movie_1,0.03333333333333333
gemma2-9b-it,5d66f23706e589000157e7ec,Transformers,disliked_movie_1,0.7499999999999999
gemma2-9b-it,5d824f2260823800018471c7,Inception,disliked_movie_1,0.11666666666666665
gemma2-9b-it,5d824f2260823800018471c7,Nightcrawler,disliked_movie_1,0.0
gemma2-9b-it,5d824f2260823800018471c7,The Notebook,disliked_movie_1,0.3833333333333333
gemma2-9b-it,5d824f2260823800018471c7,Transformers,disliked_movie_1,0.09999999999999999
gemma2-9b-it,5e1395dd7832259dc9ee9ea3,Inception,disliked_movie_1,0.0
gemma2-9b-it,5e1395dd7832259dc9ee9ea3,The Fault in Our Stars,disliked_movie_1,0.04999999999999999
gemma2-9b-it,5e1395dd7832259dc9ee9ea3,The Lego Movie,disliked_movie_1,0.016666666666666666
gemma2-9b-it,5e1395dd7832259dc9ee9ea3,Transformers: The Last Knight,disliked_movie_1,-0.1
gemma2-9b-it,5e19e188913e52263e3b2d9d,The Dark Knight,disliked_movie_1,0.08333333333333334
gemma2-9b-it,5e19e188913e52263e3b2d9d,The Hangover,disliked_movie_1,0.3833333333333333
gemma2-9b-it,5e19e188913e52263e3b2d9d,Transformers: Age of Extinction,disliked_movie_1,-0.05
gemma2-9b-it,5e19e188913e52263e3b2d9d,Zero Dark Thirty,disliked_movie_1,0.03333333333333334
gemma2-9b-it,5e24e2abaedc2c76590bbace,Once Upon a Time in America,disliked_movie_1,0.0
gemma2-9b-it,5e24e2abaedc2c76590bbace,Reservoir Dogs,disliked_movie_1,0.0
gemma2-9b-it,5e24e2abaedc2c76590bbace,The Blair Witch Project,disliked_movie_1,0.31666666666666665
gemma2-9b-it,5e24e2abaedc2c76590bbace,Transformers,disliked_movie_1,0.9166666666666665
gemma2-9b-it,5e39779a3b965917f3f377d0,Black Swan,disliked_movie_1,0.0
gemma2-9b-it,5e39779a3b965917f3f377d0,Inception,disliked_movie_1,0.09999999999999999
gemma2-9b-it,5e39779a3b965917f3f377d0,The Emoji Movie,disliked_movie_1,-0.05
gemma2-9b-it,5e39779a3b965917f3f377d0,Transformers: Age of Extinction,disliked_movie_1,0.31666666666666665
gemma2-9b-it,5e73746e686c0c2c978392e1,Kill Bill: Vol. 1,disliked_movie_1,0.0
gemma2-9b-it,5e73746e686c0c2c978392e1,Mad Max: Fury Road,disliked_movie_1,0.0
gemma2-9b-it,5e73746e686c0c2c978392e1,Saw,disliked_movie_1,0.16666666666666666
gemma2-9b-it,5e73746e686c0c2c978392e1,The Conjuring,disliked_movie_1,0.4833333333333333
gemma2-9b-it,5e739143d4934a023004b7fc,Braveheart,disliked_movie_1,-0.03333333333333333
gemma2-9b-it,5e739143d4934a023004b7fc,Kingdom of Heaven,disliked_movie_1,0.06666666666666667
gemma2-9b-it,5e739143d4934a023004b7fc,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",disliked_movie_1,0.41666666666666663
gemma2-9b-it,5e739143d4934a023004b7fc,Transformers,disliked_movie_1,0.18333333333333332
gemma2-9b-it,5e7f2dbd2b1f09000aaa2449,Spotlight,disliked_movie_1,0.0
gemma2-9b-it,5e7f2dbd2b1f09000aaa2449,The Fast and the Furious,disliked_movie_1,0.16666666666666669
gemma2-9b-it,5e7f2dbd2b1f09000aaa2449,The Wolf of Wall Street,disliked_movie_1,0.0
gemma2-9b-it,5e7f2dbd2b1f09000aaa2449,Transformers: Age of Extinction,disliked_movie_1,0.25
gemma2-9b-it,5e8212f00b53c392ed9fb619,La La Land,disliked_movie_1,0.0
gemma2-9b-it,5e8212f00b53c392ed9fb619,Sing Street,disliked_movie_1,0.06666666666666665
gemma2-9b-it,5e8212f00b53c392ed9fb619,The Lion King (2019),disliked_movie_1,0.21666666666666667
gemma2-9b-it,5e8212f00b53c392ed9fb619,Titanic,disliked_movie_1,0.15
gemma2-9b-it,5ec2b0ff8838ba0b2829e7db,Black Panther,disliked_movie_1,0.09999999999999999
gemma2-9b-it,5ec2b0ff8838ba0b2829e7db,Spider-Man: No Way Home,disliked_movie_1,0.0
gemma2-9b-it,5ec2b0ff8838ba0b2829e7db,The Dark Knight,disliked_movie_1,0.9999999999999999
gemma2-9b-it,5ec2b0ff8838ba0b2829e7db,Thor: Ragnarok,disliked_movie_1,0.08333333333333334
gemma2-9b-it,5edc3d681a69d49159555f91,Knives Out,disliked_movie_1,0.0
gemma2-9b-it,5edc3d681a69d49159555f91,La La Land,disliked_movie_1,-0.03333333333333333
gemma2-9b-it,5edc3d681a69d49159555f91,Rocketman,disliked_movie_1,0.5499999999999999
gemma2-9b-it,5edc3d681a69d49159555f91,The Girl on the Train,disliked_movie_1,0.13333333333333333
gemma2-9b-it,5edeacd530f30b14dabe6a55,Mamma Mia!,disliked_movie_1,0.0
gemma2-9b-it,5edeacd530f30b14dabe6a55,The Conjuring,disliked_movie_1,0.16666666666666666
gemma2-9b-it,5edeacd530f30b14dabe6a55,The Dark Knight,disliked_movie_1,0.6166666666666666
gemma2-9b-it,5edeacd530f30b14dabe6a55,The Lord of the Rings: The Fellowship of the Ring,disliked_movie_1,0.0
gemma2-9b-it,5eef7da8a4868b05c902ef2d,Fight Club,disliked_movie_1,-0.03333333333333333
gemma2-9b-it,5eef7da8a4868b05c902ef2d,The Lion King,disliked_movie_1,0.13333333333333333
gemma2-9b-it,5eef7da8a4868b05c902ef2d,The Machinist,disliked_movie_1,0.0
gemma2-9b-it,5eef7da8a4868b05c902ef2d,The Notebook,disliked_movie_1,-0.05
gemma2-9b-it,5f2710df5d5c6c3f0fa9c2a7,Sense and Sensibility,disliked_movie_1,0.0
gemma2-9b-it,5f2710df5d5c6c3f0fa9c2a7,Superbad,disliked_movie_1,-0.15
gemma2-9b-it,5f2710df5d5c6c3f0fa9c2a7,The Fault in Our Stars,disliked_movie_1,0.36666666666666664
gemma2-9b-it,5f2710df5d5c6c3f0fa9c2a7,The Pianist,disliked_movie_1,0.0
gemma2-9b-it,5f28e10752b92a26587aed10,Braveheart,disliked_movie_1,-0.016666666666666666
gemma2-9b-it,5f28e10752b92a26587aed10,The Big Lebowski,disliked_movie_1,0.13333333333333333
gemma2-9b-it,5f28e10752b92a26587aed10,The Greatest Showman,disliked_movie_1,0.016666666666666666
gemma2-9b-it,5f28e10752b92a26587aed10,The Lobster,disliked_movie_1,-0.016666666666666666
gemma2-9b-it,5f3dbd5e99a9be1da93d9039,Inception,disliked_movie_1,0.8999999999999999
gemma2-9b-it,5f3dbd5e99a9be1da93d9039,Monty Python and the Holy Grail,disliked_movie_1,0.08333333333333334
gemma2-9b-it,5f3dbd5e99a9be1da93d9039,The Dark Knight,disliked_movie_1,0.5166666666666666
gemma2-9b-it,5f3dbd5e99a9be1da93d9039,This is Spinal Tap,disliked_movie_1,0.08333333333333334
gemma2-9b-it,5f733312e59fd2000a74b8cf,"Salo, or the 120 Days of Sodom",disliked_movie_1,-0.016666666666666666
gemma2-9b-it,5f733312e59fd2000a74b8cf,The Emoji Movie,disliked_movie_1,0.16666666666666666
gemma2-9b-it,5f733312e59fd2000a74b8cf,The Wicker Man,disliked_movie_1,-0.016666666666666666
gemma2-9b-it,5f733312e59fd2000a74b8cf,Transformers: The Last Knight,disliked_movie_1,0.11666666666666665
gemma2-9b-it,5f7a155c6c029a66173d02b8,Singin' in the Rain,disliked_movie_1,-0.016666666666666666
gemma2-9b-it,5f7a155c6c029a66173d02b8,The Conjuring,disliked_movie_1,0.6666666666666666
gemma2-9b-it,5f7a155c6c029a66173d02b8,The Lord of the Rings: The Fellowship of the Ring,disliked_movie_1,0.15
gemma2-9b-it,5f7a155c6c029a66173d02b8,Transformers,disliked_movie_1,0.09999999999999999
gemma2-9b-it,5f7b241d63e1da06afec1b30,Fight Club,disliked_movie_1,-0.06666666666666667
gemma2-9b-it,5f7b241d63e1da06afec1b30,The Da Vinci Code,disliked_movie_1,0.18333333333333332
gemma2-9b-it,5f7b241d63e1da06afec1b30,The Silence of the Lambs,disliked_movie_1,0.016666666666666666
gemma2-9b-it,5f7b241d63e1da06afec1b30,Transformers: Age of Extinction,disliked_movie_1,0.5166666666666666
gemma2-9b-it,5f80019b6fa0e01d53854006,Goodfellas,disliked_movie_1,0.016666666666666666
