model,pid,recommendation,variable,value
gemma2-9b-it,12377,A$AP Forever - by A$AP Rocky,playlist_name,-0.016666666666666666
gemma2-9b-it,12377,Bohemian Rhapsody - by Queen,playlist_name,0.36666666666666664
gemma2-9b-it,12377,Happy - by Pharrell Williams,playlist_name,0.23333333333333334
gemma2-9b-it,12377,Juicy - by The Notorious B.I.G.,playlist_name,0.26666666666666666
gemma2-9b-it,39560,Halo - by Beyoncé,playlist_name,0.26666666666666666
gemma2-9b-it,39560,Happy - by Pharrell Williams,playlist_name,0.5666666666666667
gemma2-9b-it,39560,Someone Like You - by Adele,playlist_name,0.5166666666666666
gemma2-9b-it,39560,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.2833333333333333
gemma2-9b-it,47551,Bohemian Rhapsody - by Queen,playlist_name,0.19999999999999998
gemma2-9b-it,47551,Lose Yourself - by Eminem,playlist_name,0.4666666666666667
gemma2-9b-it,47551,Take Five - by Dave Brubeck Quartet,playlist_name,0.8833333333333332
gemma2-9b-it,47551,The Girl from Ipanema - by Astrud Gilberto,playlist_name,0.16666666666666666
gemma2-9b-it,66462,Jump Around - by House of Pain,playlist_name,0.5
gemma2-9b-it,66462,Mr. Brightside - by The Killers,playlist_name,0.3833333333333333
gemma2-9b-it,66462,The Scientist - by Coldplay,playlist_name,0.31666666666666665
gemma2-9b-it,66462,Waterfalls - by TLC,playlist_name,0.41666666666666663
gemma2-9b-it,70116,Apocalypse - by Cigarettes After Sex,playlist_name,0.06666666666666667
gemma2-9b-it,70116,Mr. Brightside - by The Killers,playlist_name,0.15
gemma2-9b-it,70116,Shelter Song - by  Temples,playlist_name,0.08333333333333334
gemma2-9b-it,70116,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.15
gemma2-9b-it,72304,Can't Stop the Feeling! - by Justin Timberlake,playlist_name,0.16666666666666666
gemma2-9b-it,72304,Chasing Cars - by Snow Patrol,playlist_name,-0.016666666666666666
gemma2-9b-it,72304,The Scientist - by Coldplay,playlist_name,-0.016666666666666666
